symbol,entry_time,exit_time,side,entry_px,exit_px,leverage,ret_gross
GBPUSD,2022-01-03 00:00:00+00:00,2022-01-24 00:00:00+00:00,short,1.35209,1.35549,4.0,-0.01005850202279479
XAUUSD,2022-01-03 00:00:00+00:00,2022-01-25 00:00:00+00:00,long,1828.294,1843.538,4.0,0.03335131001906699
XAUUSD,2022-01-25 00:00:00+00:00,2022-01-27 00:00:00+00:00,short,1843.538,1821.848,4.0,0.047061682482270495
GBPUSD,2022-01-24 00:00:00+00:00,2022-01-28 00:00:00+00:00,long,1.35549,1.33872,4.0,-0.04948763915632037
GBPUSD,2022-01-28 00:00:00+00:00,2022-02-02 00:00:00+00:00,short,1.33872,1.35239,4.0,-0.04084498625552779
GBPUSD,2022-02-02 00:00:00+00:00,2022-02-03 00:00:00+00:00,long,1.35239,1.35641,4.0,0.011890061298885257
EURUSD,2022-01-20 00:00:00+00:00,2022-02-04 00:00:00+00:00,long,1.13427,1.14352,4.0,0.03262009927089782
USDJPY,2022-01-03 00:00:00+00:00,2022-02-07 00:00:00+00:00,long,115.14,115.225,4.0,0.002952926871634176
USDJPY,2022-02-07 00:00:00+00:00,2022-02-09 00:00:00+00:00,short,115.225,115.533,4.0,-0.01069212410501219
EURUSD,2022-02-04 00:00:00+00:00,2022-02-15 00:00:00+00:00,short,1.14352,1.13057,4.0,0.04529872673849189
EURUSD,2022-02-15 00:00:00+00:00,2022-02-16 00:00:00+00:00,long,1.13057,1.1355,4.0,0.017442528989801254
EURUSD,2022-02-16 00:00:00+00:00,2022-02-20 00:00:00+00:00,short,1.1355,1.13186,4.0,0.012822545134301588
GBPUSD,2022-02-03 00:00:00+00:00,2022-02-24 00:00:00+00:00,short,1.35641,1.35444,4.0,0.005809452894035783
GBPUSD,2022-02-24 00:00:00+00:00,2022-03-06 00:00:00+00:00,long,1.35444,1.32241,4.0,-0.09459259915537066
EURUSD,2022-02-20 00:00:00+00:00,2022-03-17 00:00:00+00:00,long,1.13186,1.10216,4.0,-0.10495997738236218
XAUUSD,2022-01-27 00:00:00+00:00,2022-05-25 00:00:00+00:00,long,1821.848,1867.345,4.0,0.09989197781593173
XAUUSD,2022-05-25 00:00:00+00:00,2022-05-26 00:00:00+00:00,short,1867.345,1853.908,3.4950090108104055,0.025149308819880617
XAUUSD,2022-05-26 00:00:00+00:00,2022-05-31 00:00:00+00:00,long,1853.908,1852.328,3.4915743168598303,-0.0029757072199044186
XAUUSD,2022-05-31 00:00:00+00:00,2022-06-01 00:00:00+00:00,short,1852.328,1836.318,3.7680554023126978,0.03256797229811706
XAUUSD,2022-06-01 00:00:00+00:00,2022-06-03 00:00:00+00:00,long,1836.318,1869.738,3.7354857918933946,0.06798383241087765
XAUUSD,2022-06-03 00:00:00+00:00,2022-06-07 00:00:00+00:00,short,1869.738,1839.268,3.6611166846843775,0.059663025184455425
XAUUSD,2022-06-07 00:00:00+00:00,2022-06-12 00:00:00+00:00,long,1839.268,1874.938,3.8158424994796674,0.07400286524663034
XAUUSD,2022-06-12 00:00:00+00:00,2022-06-14 00:00:00+00:00,short,1874.938,1820.833,3.896589257326831,0.11244369774769544
XAUUSD,2022-06-14 00:00:00+00:00,2022-06-19 00:00:00+00:00,long,1820.833,1837.448,3.335599437809056,0.030437159618261024
XAUUSD,2022-06-19 00:00:00+00:00,2022-06-20 00:00:00+00:00,short,1837.448,1838.318,3.533525814588937,-0.0016730636506134657
XAUUSD,2022-06-20 00:00:00+00:00,2022-06-23 00:00:00+00:00,long,1838.318,1836.438,3.533554373566075,-0.0036136741425060923
XAUUSD,2022-06-23 00:00:00+00:00,2022-06-24 00:00:00+00:00,short,1836.438,1824.443,3.5866947594715035,0.02342709290477611
XAUUSD,2022-06-24 00:00:00+00:00,2022-07-06 00:00:00+00:00,long,1824.443,1769.364,3.722193137515025,-0.11237110494610687
EURUSD,2022-03-17 00:00:00+00:00,2022-11-30 00:00:00+00:00,short,1.10216,1.03234,4.0,0.25339333672062114
EURUSD,2022-11-30 00:00:00+00:00,2022-12-01 00:00:00+00:00,long,1.03234,1.04228,3.9131567993733656,0.037678263542797824
XAUUSD,2022-07-06 00:00:00+00:00,2022-12-06 00:00:00+00:00,short,1769.364,1769.137,3.4630564083480895,0.00044429173685867665
XAUUSD,2022-12-06 00:00:00+00:00,2022-12-08 00:00:00+00:00,long,1769.137,1786.908,2.9185662375036583,0.029317028928046534
XAUUSD,2022-12-08 00:00:00+00:00,2022-12-16 00:00:00+00:00,short,1786.908,1776.455,2.967850075164127,0.01736123898694881
XAUUSD,2022-12-16 00:00:00+00:00,2022-12-18 00:00:00+00:00,long,1776.455,1792.257,3.9113289741660093,0.03479222409223551
XAUUSD,2022-12-18 00:00:00+00:00,2022-12-19 00:00:00+00:00,short,1792.257,1790.925,3.94826507565886,0.0029343387029752152
XAUUSD,2022-12-19 00:00:00+00:00,2022-12-21 00:00:00+00:00,long,1790.925,1817.135,3.9722964195194264,0.058134142499325074
XAUUSD,2022-12-21 00:00:00+00:00,2022-12-23 00:00:00+00:00,short,1817.135,1793.435,3.745104171506317,0.04884555570428147
XAUUSD,2022-12-23 00:00:00+00:00,2022-12-28 00:00:00+00:00,long,1793.435,1812.315,3.6847503458698023,0.038790414221882556
