symbol,entry_time,exit_time,side,entry_px,exit_px,leverage,ret_gross,signal_date
GBPUSD,2022-01-03 00:00:00+00:00,2022-01-17 00:00:00+00:00,short,1.35209,1.36725,2.107048844445558,-0.023624803438968354,2022-01-02 00:00:00+00:00
GBPUSD,2022-01-17 00:00:00+00:00,2022-01-18 00:00:00+00:00,long,1.36725,1.36469,2.139683145295506,-0.004006281844546977,2022-01-16 00:00:00+00:00
GBPUSD,2022-01-18 00:00:00+00:00,2022-01-21 00:00:00+00:00,short,1.36469,1.35964,2.058628336199232,0.007617900840341846,2022-01-17 00:00:00+00:00
EURUSD,2022-01-27 00:00:00+00:00,2022-02-03 00:00:00+00:00,long,1.12405,1.12992,1.767618378829995,0.00923083482383546,2022-01-26 00:00:00+00:00
EURUSD,2022-02-04 00:00:00+00:00,2022-02-13 00:00:00+00:00,short,1.14352,1.13369,1.3999539789338473,0.012034374224254699,2022-02-03 00:00:00+00:00
GBPUSD,2022-01-21 00:00:00+00:00,2022-02-17 00:00:00+00:00,long,1.35964,1.35811,2.2838603070530676,-0.002570023145679312,2022-01-20 00:00:00+00:00
GBPUSD,2022-02-17 00:00:00+00:00,2022-02-24 00:00:00+00:00,short,1.35811,1.35444,2.245793587625845,0.0060687738596920835,2022-02-16 00:00:00+00:00
GBPUSD,2022-02-24 00:00:00+00:00,2022-03-08 00:00:00+00:00,long,1.35444,1.31129,1.755518879515305,-0.055927645116125795,2022-02-23 00:00:00+00:00
EURUSD,2022-02-25 00:00:00+00:00,2022-03-09 00:00:00+00:00,long,1.11906,1.08984,1.4564906390252081,-0.0380307190609231,2022-02-24 00:00:00+00:00
EURUSD,2022-03-09 00:00:00+00:00,2022-03-11 00:00:00+00:00,short,1.08984,1.10132,1.075261664893913,-0.011326436828325556,2022-03-08 00:00:00+00:00
EURUSD,2022-03-11 00:00:00+00:00,2022-03-20 00:00:00+00:00,long,1.10132,1.10561,1.1285850779925481,0.004396206356543069,2022-03-10 00:00:00+00:00
EURUSD,2022-03-20 00:00:00+00:00,2022-04-06 00:00:00+00:00,short,1.10561,1.09058,1.0638366127982959,0.014462119816534095,2022-03-18 00:00:00+00:00
EURUSD,2022-04-06 00:00:00+00:00,2022-04-18 00:00:00+00:00,long,1.09058,1.08138,1.092370139429327,-0.009215101398109176,2022-04-05 00:00:00+00:00
EURUSD,2022-04-18 00:00:00+00:00,2022-04-19 00:00:00+00:00,short,1.08138,1.07799,1.4903272484879975,0.004672001860931618,2022-04-17 00:00:00+00:00
EURUSD,2022-04-19 00:00:00+00:00,2022-04-26 00:00:00+00:00,long,1.07799,1.07124,1.4961280455417887,-0.009368235612025197,2022-04-18 00:00:00+00:00
XAUUSD,2022-01-03 00:00:00+00:00,2022-05-11 00:00:00+00:00,long,1828.294,1833.463,1.3520137827648253,0.0038224482731502997,2022-01-02 00:00:00+00:00
XAUUSD,2022-05-11 00:00:00+00:00,2022-11-11 00:00:00+00:00,short,1833.463,1751.947,0.7409990112557331,0.03294491102439609,2022-05-10 00:00:00+00:00
EURUSD,2022-04-26 00:00:00+00:00,2022-11-13 00:00:00+00:00,short,1.07124,1.03354,1.4527117349566339,0.051125081595034975,2022-04-25 00:00:00+00:00
GBPUSD,2022-03-08 00:00:00+00:00,2022-12-23 00:00:00+00:00,short,1.31129,1.20372,1.568466336126433,0.12866713219586873,2022-03-07 00:00:00+00:00
