symbol,entry_time,exit_time,side,entry_px,exit_px,leverage,ret_gross
USDJPY,2023-01-19 00:00:00+00:00,2023-01-24 00:00:00+00:00,long,128.552,130.593,1.2797294052880896,0.02031806363333906
USDJPY,2023-01-24 00:00:00+00:00,2023-01-25 00:00:00+00:00,short,130.593,130.214,1.3041894467792563,0.0037849486598005105
USDJPY,2023-01-25 00:00:00+00:00,2023-01-30 00:00:00+00:00,long,130.214,129.835,1.3344728810697994,-0.003884107868013031
GBPUSD,2023-01-19 00:00:00+00:00,2023-02-01 00:00:00+00:00,short,1.23464,1.23077,1.4369362756438107,0.004504101103756281
GBPUSD,2023-02-01 00:00:00+00:00,2023-02-02 00:00:00+00:00,long,1.23077,1.23865,1.751953444477542,0.011216874917720842
USDJPY,2023-01-30 00:00:00+00:00,2023-02-02 00:00:00+00:00,short,129.835,128.603,1.416820225512104,0.013444160032586784
GBPUSD,2023-02-02 00:00:00+00:00,2023-02-03 00:00:00+00:00,short,1.23865,1.22205,1.749290067048069,0.02344343851208795
XAUUSD,2023-01-20 00:00:00+00:00,2023-02-03 00:00:00+00:00,short,1931.565,1915.035,1.218627128379132,0.010428800704147699
USDJPY,2023-02-02 00:00:00+00:00,2023-02-05 00:00:00+00:00,long,128.603,132.471,1.4013679832227912,0.042149027309672044
GBPUSD,2023-02-03 00:00:00+00:00,2023-02-28 00:00:00+00:00,long,1.22205,1.20618,1.587810282966874,-0.020619900323787438
GBPUSD,2023-02-28 00:00:00+00:00,2023-03-01 00:00:00+00:00,short,1.20618,1.20324,1.6347586032626722,0.003984637693870118
GBPUSD,2023-03-01 00:00:00+00:00,2023-03-05 00:00:00+00:00,long,1.20324,1.20253,1.6401373374964479,-0.0009678015272284635
XAUUSD,2023-02-03 00:00:00+00:00,2023-03-05 00:00:00+00:00,long,1915.035,1854.644,1.1750545793244682,-0.03705557397122459
GBPUSD,2023-03-05 00:00:00+00:00,2023-03-06 00:00:00+00:00,short,1.20253,1.20268,1.5955376260372391,-0.00019902259727856244
XAUUSD,2023-03-05 00:00:00+00:00,2023-03-08 00:00:00+00:00,short,1854.644,1813.855,1.2405882665704795,0.027284133669396013
