symbol,entry_time,exit_time,side,entry_px,exit_px,leverage,ret_gross
GBPUSD,2022-01-20 00:00:00+00:00,2022-01-21 00:00:00+00:00,short,1.36089,1.35964,3.0,0.002755549677049607
USDJPY,2022-01-20 00:00:00+00:00,2022-01-28 00:00:00+00:00,long,114.347,115.35,2.9584485646161616,0.025950168437387768
XAUUSD,2022-01-20 00:00:00+00:00,2022-01-28 00:00:00+00:00,short,1838.424,1797.158,1.3804882590745615,0.03098699130286096
GBPUSD,2022-01-21 00:00:00+00:00,2022-02-03 00:00:00+00:00,long,1.35964,1.35641,3.0,-0.007126886528787235
USDJPY,2022-01-28 00:00:00+00:00,2022-02-03 00:00:00+00:00,short,115.35,114.378,2.7193693215463193,0.0229148416171913
EURUSD,2022-01-20 00:00:00+00:00,2022-02-04 00:00:00+00:00,long,1.13427,1.14352,2.4382862022863123,0.019884284492359985
USDJPY,2022-02-03 00:00:00+00:00,2022-02-04 00:00:00+00:00,long,114.378,114.956,2.894245171926053,0.014625834595579878
GBPUSD,2022-02-03 00:00:00+00:00,2022-02-06 00:00:00+00:00,short,1.35641,1.35374,3.0,0.005905294121983817
GBPUSD,2022-02-06 00:00:00+00:00,2022-02-08 00:00:00+00:00,long,1.35374,1.35368,2.9436389265452165,-0.000130466954948802
XAUUSD,2022-01-28 00:00:00+00:00,2022-02-08 00:00:00+00:00,long,1797.158,1821.878,1.3109490392283536,0.01803217093306469
EURUSD,2022-02-04 00:00:00+00:00,2022-02-15 00:00:00+00:00,short,1.14352,1.13057,2.0999309684007708,0.02378104977682079
EURUSD,2022-02-15 00:00:00+00:00,2022-02-16 00:00:00+00:00,long,1.13057,1.1355,2.2118124457520443,0.009644900676258311
USDJPY,2022-02-04 00:00:00+00:00,2022-02-18 00:00:00+00:00,short,114.956,114.859,2.815276907055496,0.002375533769306573
EURUSD,2022-02-16 00:00:00+00:00,2022-02-20 00:00:00+00:00,short,1.1355,1.13186,2.1927691524265054,0.007029220356523276
GBPUSD,2022-02-08 00:00:00+00:00,2022-02-24 00:00:00+00:00,short,1.35368,1.35444,3.0,-0.0016842976183442104
USDJPY,2022-02-18 00:00:00+00:00,2022-02-25 00:00:00+00:00,long,114.859,115.548,3.0,0.017995977676978026
USDJPY,2022-02-25 00:00:00+00:00,2022-03-01 00:00:00+00:00,short,115.548,115.086,2.9195865797969582,0.011673494996591881
USDJPY,2022-03-01 00:00:00+00:00,2022-03-03 00:00:00+00:00,long,115.086,115.515,2.877400078467938,0.010725932204288371
USDJPY,2022-03-03 00:00:00+00:00,2022-03-06 00:00:00+00:00,short,115.515,114.895,2.942400504463248,0.01579265301274474
USDJPY,2022-03-06 00:00:00+00:00,2022-03-08 00:00:00+00:00,long,114.895,115.365,2.918154988694599,0.011937271810665673
XAUUSD,2022-02-08 00:00:00+00:00,2022-03-16 00:00:00+00:00,short,1821.878,1917.829,1.5906078612591574,-0.08377093026847979
EURUSD,2022-02-20 00:00:00+00:00,2022-03-17 00:00:00+00:00,long,1.13186,1.10216,2.291704385885312,-0.06013431012739564
GBPUSD,2022-02-24 00:00:00+00:00,2022-03-17 00:00:00+00:00,long,1.35444,1.31399,3.0,-0.08959422344289913
USDJPY,2022-03-08 00:00:00+00:00,2022-03-17 00:00:00+00:00,short,115.365,118.868,2.8572905305044074,-0.08676018487718931
XAUUSD,2022-03-16 00:00:00+00:00,2022-05-23 00:00:00+00:00,long,1917.829,1846.218,0.8487315692467147,-0.03169131158477968
XAUUSD,2022-05-23 00:00:00+00:00,2022-05-31 00:00:00+00:00,short,1846.218,1852.328,1.041650287501148,-0.0034473086367005547
XAUUSD,2022-05-31 00:00:00+00:00,2022-07-28 00:00:00+00:00,long,1852.328,1738.618,1.1304166206938073,-0.06939358144944786
EURUSD,2022-03-17 00:00:00+00:00,2022-11-30 00:00:00+00:00,short,1.10216,1.03234,1.6356936470588321,0.10361846777023988
EURUSD,2022-11-30 00:00:00+00:00,2022-12-01 00:00:00+00:00,long,1.03234,1.04228,1.1739470398120098,0.011303479062839348
