run,loo,lookbacks,w_tsmom,w_xsec,w_mr,w_volcarry,target_vol,vol_lookback,max_leverage,cagr,vol,sharpe,maxdd,mar
1,-,"(63, 126, 252)",1.0,0.8,0.6,0.0,0.1,15,2.0,0.13415267820983434,0.0874891516984923,1.5333635725736061,-0.027839711305122306,4.818752491343228
2,-,"(63, 126, 252)",1.0,0.8,0.6,0.0,0.1,15,3.0,0.1832290622503261,0.1261807200502781,1.4521161567101253,-0.027843080040550583,6.580775617621032
3,-,"(63, 126, 252)",1.0,0.8,0.6,0.0,0.1,20,2.0,0.14014391605649146,0.08780740862922246,1.5960374898235103,-0.026198614770204354,5.349287253762627
4,-,"(63, 126, 252)",1.0,0.8,0.6,0.0,0.1,20,3.0,0.18909933874680784,0.12614680905621287,1.499041792349598,-0.026196671886365874,7.218448952869662
5,-,"(63, 126, 252)",1.0,0.8,0.6,0.0,0.1,30,2.0,0.1391721584700516,0.08868314826060726,1.5693191006376503,-0.02583196720885994,5.387594268171641
6,-,"(63, 126, 252)",1.0,0.8,0.6,0.0,0.1,30,3.0,0.17849349844838724,0.1193600063009305,1.4954213222674382,-0.025824015316215587,6.9119188578046735
7,-,"(63, 126, 252)",1.0,0.8,0.6,0.0,0.12,15,2.0,0.14308581943390752,0.08940323403821465,1.6004546253074772,-0.03245711071896429,4.408458308961686
8,-,"(63, 126, 252)",1.0,0.8,0.6,0.0,0.12,15,3.0,0.19109522278405477,0.12732112375065438,1.50089173857981,-0.03342065487921442,5.717877865490427
9,-,"(63, 126, 252)",1.0,0.8,0.6,0.0,0.12,20,2.0,0.150380935955172,0.08989729484858236,1.6728082442131842,-0.03071106123197631,4.896637560625733
10,-,"(63, 126, 252)",1.0,0.8,0.6,0.0,0.12,20,3.0,0.19815616270852998,0.12735676059533363,1.5559139678352534,-0.031429700027432395,6.304742410381766
11,-,"(63, 126, 252)",1.0,0.8,0.6,0.0,0.12,30,2.0,0.14939366626025352,0.09111097927171821,1.639688953564204,-0.030167014375354184,4.9522191490817535
12,-,"(63, 126, 252)",1.0,0.8,0.6,0.0,0.12,30,3.0,0.19645456473808331,0.12817971532111,1.5326494074817865,-0.030961062413605633,6.345213937224346
13,-,"(63, 126, 252)",1.0,0.8,0.6,0.0,0.15,15,2.0,0.1609193504328441,0.09147096724079917,1.7592396285612752,-0.032932109066776794,4.886396741446052
14,-,"(63, 126, 252)",1.0,0.8,0.6,0.0,0.15,15,3.0,0.20238311115468277,0.1296376141330569,1.5611449848726902,-0.0417857949475996,4.843347156814322
15,-,"(63, 126, 252)",1.0,0.8,0.6,0.0,0.15,20,2.0,0.16442358428223725,0.09218496696371568,1.783626872122815,-0.033122793137553064,4.964061563268996
16,-,"(63, 126, 252)",1.0,0.8,0.6,0.0,0.15,20,3.0,0.21146219436160574,0.12977647359989428,1.6294339682364278,-0.039277361177011416,5.383818770528101
17,-,"(63, 126, 252)",1.0,0.8,0.6,0.0,0.15,30,2.0,0.15992006149561888,0.09218841038688728,1.7347089598842418,-0.032177632011569424,4.969913927728425
18,-,"(63, 126, 252)",1.0,0.8,0.6,0.0,0.15,30,3.0,0.20952454226603678,0.13098668936751068,1.5995865173611012,-0.038667502263255105,5.418621064261072
19,-,"(63, 126, 252)",1.0,0.8,0.6,0.3,0.1,15,2.0,0.021242340412839456,0.03177338884339883,0.6685575944554217,-0.028081493442532857,0.7564533722649285
20,-,"(63, 126, 252)",1.0,0.8,0.6,0.3,0.1,15,3.0,0.02133170966616027,0.03180720167639818,0.670656597936089,-0.028084842091253504,0.7595452948195008
21,-,"(63, 126, 252)",1.0,0.8,0.6,0.3,0.1,20,2.0,0.026497533414558294,0.03297036466964788,0.803677292624901,-0.026242670235175458,1.0097117853137223
22,-,"(63, 126, 252)",1.0,0.8,0.6,0.3,0.1,20,3.0,0.026383949178880206,0.03300429471337693,0.7994095740572381,-0.02624073208105404,1.0054578163971868
23,-,"(63, 126, 252)",1.0,0.8,0.6,0.3,0.1,30,2.0,0.026494479972108298,0.0350194824743938,0.756564006663463,-0.026408065108449064,1.0032722906166869
24,-,"(63, 126, 252)",1.0,0.8,0.6,0.3,0.1,30,3.0,0.02617793212218178,0.03505300046192734,0.7468100241693953,-0.026400283029519356,0.9915777074401454
