run,loo,lookbacks,w_tsmom,w_xsec,w_mr,w_volcarry,vc_top_q,vc_bot_q,vc_lookback,target_vol,vol_lookback,max_leverage,cagr,vol,sharpe,maxdd,mar
1,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,42,0.1,15,2.0,-0.050086790957872496,0.04136667956768615,-1.210800370765028,-0.13928219588312096,-0.35960655732268154
2,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,42,0.1,15,3.0,-0.04867801875841382,0.04195981280571386,-1.1601104843772112,-0.13671434518583547,-0.35605640865445326
3,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,42,0.1,30,2.0,-0.05116515571231017,0.043822749460634816,-1.16754782258176,-0.14083673049414003,-0.3632941174705775
4,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,42,0.1,30,3.0,-0.05120520319537336,0.04408427373558154,-1.161529925671529,-0.14090910547793833,-0.3633917270405949
5,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,42,0.15,15,2.0,-0.07378033920720017,0.05825351693898957,-1.2665387960090417,-0.1953415691360414,-0.37769912227856356
6,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,42,0.15,15,3.0,-0.06939231358176967,0.06149655304987017,-1.128393546309766,-0.1941503091003377,-0.35741541645399816
7,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,42,0.15,30,2.0,-0.07434825261118849,0.0617552645670786,-1.2039176438217893,-0.19642062309095232,-0.37851551146318085
8,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,42,0.15,30,3.0,-0.07177808208754966,0.0653020202585819,-1.0991709261570155,-0.1974510897067675,-0.36352335251300216
9,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,84,0.1,15,2.0,-0.050086790957872496,0.04136667956768615,-1.210800370765028,-0.13928219588312096,-0.35960655732268154
10,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,84,0.1,15,3.0,-0.04867801875841382,0.04195981280571386,-1.1601104843772112,-0.13671434518583547,-0.35605640865445326
11,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,84,0.1,30,2.0,-0.05116515571231017,0.043822749460634816,-1.16754782258176,-0.14083673049414003,-0.3632941174705775
12,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,84,0.1,30,3.0,-0.05120520319537336,0.04408427373558154,-1.161529925671529,-0.14090910547793833,-0.3633917270405949
