symbol,entry_time,exit_time,side,entry_px,exit_px,leverage,ret_gross
US500,2022-07-08 00:00:00+00:00,2022-07-12 00:00:00+00:00,short,252.487,246.376,0.2136152230906229,0.005170177586595724
US500,2022-07-12 00:00:00+00:00,2022-07-20 00:00:00+00:00,long,246.376,250.754,0.22495179694121717,0.003997300739555199
XAUUSD,2022-06-15 00:00:00+00:00,2022-07-28 00:00:00+00:00,long,1810.813,1738.618,0.7046692556498484,-0.028094340449091603
US500,2022-07-20 00:00:00+00:00,2022-07-29 00:00:00+00:00,short,250.754,241.804,0.23639379134614816,0.008437450379846476
US500,2022-07-29 00:00:00+00:00,2022-08-04 00:00:00+00:00,long,241.804,252.824,0.2183669813653432,0.00995187893767714
US500,2022-08-04 00:00:00+00:00,2022-08-05 00:00:00+00:00,short,252.824,246.124,0.24581347131659606,0.006514216442351969
US500,2022-08-05 00:00:00+00:00,2022-08-09 00:00:00+00:00,long,246.124,252.854,0.24393224473287126,0.006670068774488587
US500,2022-08-09 00:00:00+00:00,2022-08-10 00:00:00+00:00,short,252.854,250.664,0.24648115275819305,0.0021348039759720877
US500,2022-08-10 00:00:00+00:00,2022-08-11 00:00:00+00:00,long,250.664,256.084,0.24268234190544596,0.005247416035519735
US500,2022-08-11 00:00:00+00:00,2022-08-16 00:00:00+00:00,short,256.084,250.634,0.24397694909812653,0.005192336782402632
US500,2022-08-16 00:00:00+00:00,2022-09-09 00:00:00+00:00,long,250.634,236.545,0.2668873702963777,-0.015002657899988277
EURUSD,2022-06-15 00:00:00+00:00,2022-10-03 00:00:00+00:00,short,1.04368,0.97931,1.3039594300502806,0.08042299221249463
EURUSD,2022-10-03 00:00:00+00:00,2022-10-05 00:00:00+00:00,long,0.97931,0.99839,0.9046267797340288,0.017624938944078215
EURUSD,2022-10-05 00:00:00+00:00,2022-10-07 00:00:00+00:00,short,0.99839,0.97888,0.8482078454801282,0.016575221171403323
EURUSD,2022-10-07 00:00:00+00:00,2022-10-14 00:00:00+00:00,long,0.97888,0.97669,0.8177963475355068,-0.0018296154800412324
EURUSD,2022-10-14 00:00:00+00:00,2022-10-17 00:00:00+00:00,short,0.97669,0.97395,0.8443531145825234,0.0023687429316938736
EURUSD,2022-10-17 00:00:00+00:00,2022-10-18 00:00:00+00:00,long,0.97395,0.98434,0.8446293853443725,0.009010420774914577
EURUSD,2022-10-18 00:00:00+00:00,2022-11-03 00:00:00+00:00,short,0.98434,0.98141,0.823065809171877,0.002449949022566988
EURUSD,2022-11-03 00:00:00+00:00,2022-11-07 00:00:00+00:00,long,0.98141,0.99282,0.8743350483061209,0.010165132718408089
EURUSD,2022-11-07 00:00:00+00:00,2022-11-29 00:00:00+00:00,short,0.99282,1.03432,0.7938578970661526,-0.03318335924764327
EURUSD,2022-11-29 00:00:00+00:00,2022-12-01 00:00:00+00:00,long,1.03432,1.04228,0.7763174518245312,0.005974443998495063
US500,2022-09-09 00:00:00+00:00,2022-12-01 00:00:00+00:00,short,236.545,222.724,0.24664166112998068,0.01441093406530453
