symbol,entry_time,exit_time,side,entry_px,exit_px,leverage,ret_gross
GBPUSD,2022-01-03 00:00:00+00:00,2022-01-24 00:00:00+00:00,short,1.35209,1.35549,3.0,-0.007543876517096093
XAUUSD,2022-01-03 00:00:00+00:00,2022-01-25 00:00:00+00:00,long,1828.294,1843.538,2.0280206741472377,0.01690928655714044
XAUUSD,2022-01-25 00:00:00+00:00,2022-01-27 00:00:00+00:00,short,1843.538,1821.848,1.7310532027545649,0.020366569046988185
GBPUSD,2022-01-24 00:00:00+00:00,2022-01-28 00:00:00+00:00,long,1.35549,1.33872,3.0,-0.03711572936724028
GBPUSD,2022-01-28 00:00:00+00:00,2022-02-02 00:00:00+00:00,short,1.33872,1.35239,3.0,-0.030633739691645845
GBPUSD,2022-02-02 00:00:00+00:00,2022-02-03 00:00:00+00:00,long,1.35239,1.35641,3.0,0.008917545974163943
EURUSD,2022-01-20 00:00:00+00:00,2022-02-04 00:00:00+00:00,long,1.13427,1.14352,2.4382862022863123,0.019884284492359985
USDJPY,2022-01-03 00:00:00+00:00,2022-02-07 00:00:00+00:00,long,115.14,115.225,3.0,0.002214695153725632
USDJPY,2022-02-07 00:00:00+00:00,2022-02-09 00:00:00+00:00,short,115.225,115.533,2.9016670972036156,-0.007756246178682882
EURUSD,2022-02-04 00:00:00+00:00,2022-02-15 00:00:00+00:00,short,1.14352,1.13057,2.0999309684007708,0.02378104977682079
EURUSD,2022-02-15 00:00:00+00:00,2022-02-16 00:00:00+00:00,long,1.13057,1.1355,2.2118124457520443,0.009644900676258311
EURUSD,2022-02-16 00:00:00+00:00,2022-02-20 00:00:00+00:00,short,1.1355,1.13186,2.1927691524265054,0.007029220356523276
GBPUSD,2022-02-03 00:00:00+00:00,2022-02-24 00:00:00+00:00,short,1.35641,1.35444,3.0,0.004357089670526837
GBPUSD,2022-02-24 00:00:00+00:00,2022-03-06 00:00:00+00:00,long,1.35444,1.32241,3.0,-0.070944449366528
EURUSD,2022-02-20 00:00:00+00:00,2022-03-17 00:00:00+00:00,long,1.13186,1.10216,2.291704385885312,-0.06013431012739564
XAUUSD,2022-01-27 00:00:00+00:00,2022-05-24 00:00:00+00:00,long,1821.848,1853.768,1.546076187055996,0.027088292706541756
XAUUSD,2022-05-24 00:00:00+00:00,2022-06-01 00:00:00+00:00,short,1853.768,1836.318,1.0343976751252257,0.009737054168016275
XAUUSD,2022-06-01 00:00:00+00:00,2022-06-02 00:00:00+00:00,long,1836.318,1845.864,1.1206457375680183,0.005825616375172634
XAUUSD,2022-06-02 00:00:00+00:00,2022-06-07 00:00:00+00:00,short,1845.864,1839.268,1.1382043639838793,0.0040672530505159975
XAUUSD,2022-06-07 00:00:00+00:00,2022-06-08 00:00:00+00:00,long,1839.268,1853.548,1.1447527498439,0.00888781257966272
XAUUSD,2022-06-08 00:00:00+00:00,2022-06-10 00:00:00+00:00,short,1853.548,1846.798,1.129225571538002,0.004112260706429738
XAUUSD,2022-06-10 00:00:00+00:00,2022-06-12 00:00:00+00:00,long,1846.798,1874.938,1.2196719607710966,0.018584365467202463
XAUUSD,2022-06-12 00:00:00+00:00,2022-06-14 00:00:00+00:00,short,1874.938,1820.833,1.1689767771980493,0.03373310932430863
XAUUSD,2022-06-14 00:00:00+00:00,2022-06-15 00:00:00+00:00,long,1820.833,1810.813,1.0006798313427168,-0.005506716931236453
XAUUSD,2022-06-15 00:00:00+00:00,2022-06-16 00:00:00+00:00,short,1810.813,1833.708,1.0192139550037553,-0.012886423667055088
XAUUSD,2022-06-16 00:00:00+00:00,2022-06-17 00:00:00+00:00,long,1833.708,1850.638,1.0118438310403888,0.009342008683778243
XAUUSD,2022-06-17 00:00:00+00:00,2022-06-20 00:00:00+00:00,short,1850.638,1838.318,1.0619113692505446,0.007069317753751206
XAUUSD,2022-06-20 00:00:00+00:00,2022-06-22 00:00:00+00:00,long,1838.318,1831.325,1.0600663120698224,-0.004032514352959753
XAUUSD,2022-06-22 00:00:00+00:00,2022-06-24 00:00:00+00:00,short,1831.325,1824.443,1.0773558868020372,0.004048633209818971
XAUUSD,2022-06-24 00:00:00+00:00,2022-06-28 00:00:00+00:00,long,1824.443,1823.423,1.1166579412545075,-0.0006242952507036878
XAUUSD,2022-06-28 00:00:00+00:00,2022-07-03 00:00:00+00:00,short,1823.423,1812.078,1.1170637788131086,0.006950163824101506
XAUUSD,2022-07-03 00:00:00+00:00,2022-07-05 00:00:00+00:00,long,1812.078,1809.158,1.1321344789616257,-0.0018243324396456052
EURUSD,2022-03-17 00:00:00+00:00,2022-11-30 00:00:00+00:00,short,1.10216,1.03234,1.6356936470588321,0.10361846777023988
XAUUSD,2022-07-05 00:00:00+00:00,2022-12-16 00:00:00+00:00,short,1809.158,1776.455,1.1329722807270335,0.020480020261699712
XAUUSD,2022-12-16 00:00:00+00:00,2022-12-18 00:00:00+00:00,long,1776.455,1792.257,1.1733986922498028,0.010437667227670653
XAUUSD,2022-12-18 00:00:00+00:00,2022-12-23 00:00:00+00:00,short,1792.257,1793.435,1.184479522697658,-0.0007785249982215007
XAUUSD,2022-12-23 00:00:00+00:00,2022-12-26 00:00:00+00:00,long,1793.435,1800.047,1.1054251037609406,0.004075458985727062
